question,option_a,option_b,option_c,option_d,correct_answer,difficulty,category
What is the chemical formula for table salt?,NaO,NaCl,NaCO3,NaH,1,easy,Chemistry
What year did man first land on the moon?,1967,1968,1969,1970,2,medium,History
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,1,medium,Geography
What is the capital of Italy?,Milan,Rome,Venice,Florence,1,easy,Geography
How many chromosomes do humans have?,23,46,44,48,1,medium,Biology
What is the main component of the Sun?,Hydrogen,Helium,Oxygen,Carbon,0,hard,Science
Who won World War I?,Germany,Austria-Hungary,Allied Powers,Ottoman Empire,2,medium,History
What is the capital of Egypt?,Alexandria,Cairo,Luxor,Giza,1,easy,Geography
How many days are in a leap year?,364,365,366,367,2,easy,Math
What is the chemical formula for Glucose?,C6H12O6,C6H6O6,C12H22O11,CH2O,0,hard,Chemistry
Who painted The Last Supper?,Michelangelo,Da Vinci,Raphael,Botticelli,1,medium,Art
What is the capital of Turkey?,Istanbul,Ankara,Izmir,Antalya,1,medium,Geography
What is the smallest particle of an element?,Atom,Electron,Proton,Quark,0,hard,Physics
Who wrote The Great Gatsby?,Hemingway,Fitzgerald,Faulkner,Steinbeck,1,medium,Literature
What is the capital of Thailand?,Bangkok,Phuket,Chiang Mai,Pattaya,0,easy,Geography
How many hours are in a week?,148,158,168,178,2,easy,Math
What is the chemical symbol for Lead?,Le,Ld,Pb,Pl,2,hard,Chemistry
Who is credited with discovering America?,Columbus,Magellan,Vespucci,Cabot,0,medium,History
What is the capital of Greece?,Athens,Sparta,Thessaloniki,Crete,0,easy,Geography
What is the approximate circumference of Earth?,30000 km,40000 km,50000 km,60000 km,1,hard,Science
What is the capital of Russia?,Moscow,St Petersburg,Kiev,Minsk,0,easy,Geography
Who invented the airplane?,Wright Brothers,Edison,Tesla,Ford,0,medium,History
What is the largest bird in the world?,Eagle,Condor,Ostrich,Albatross,2,easy,Animals
What is the chemical formula for Ammonia?,NH3,NH4,N2H,HN2,0,medium,Chemistry
What year did the Titanic sink?,1910,1911,1912,1913,2,medium,History
What is the capital of China?,Shanghai,Beijing,Hong Kong,Guangzhou,1,easy,Geography
How many legs does a spider have?,6,8,10,12,1,easy,Animals
What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Platinum,0,easy,Science
Who wrote Pride and Prejudice?,Bronte,Austen,Woolf,Eliot,1,medium,Literature
What is the capital of South Korea?,Busan,Seoul,Incheon,Daegu,1,easy,Geography
What is the square root of 225?,13,14,15,16,2,easy,Math
What is the chemical symbol for Copper?,Co,Cu,Cp,Cr,1,medium,Chemistry
Who invented the printing press?,Galileo,Gutenberg,Newton,Da Vinci,1,hard,History
What is the largest lake in the world by surface area?,Superior,Victoria,Baikal,Caspian Sea,3,hard,Geography
What is 17 * 6?,96,102,108,114,1,medium,Math
What is the capital of India?,Mumbai,Delhi,Kolkata,Chennai,1,easy,Geography
Who painted Starry Night?,Monet,Van Gogh,Picasso,Dali,1,medium,Art
What is the capital of Spain?,Barcelona,Madrid,Seville,Valencia,1,easy,Geography
How many continents are there on Earth?,5,6,7,8,2,easy,Geography
What is the largest organ in the human body?,Heart,Liver,Skin,Brain,2,medium,Biology
What is 12 squared?,124,132,144,156,2,easy,Math
Who discovered penicillin?,Pasteur,Fleming,Koch,Jenner,1,medium,Science
What is the capital of Brazil?,Rio de Janeiro,Sao Paulo,Brasilia,Salvador,2,medium,Geography
What gas makes up most of Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,2,medium,Science
What is the chemical symbol for Sodium?,So,Na,Sd,No,1,medium,Chemistry
How many sides does an octagon have?,6,7,8,9,2,easy,Math
What is the capital of Mexico?,Cancun,Mexico City,Guadalajara,Monterrey,1,easy,Geography
What is the capital of Argentina?,Buenos Aires,Cordoba,Rosario,Mendoza,0,easy,Geography
What is the chemical symbol for Potassium?,Po,Pt,K,Ka,2,medium,Chemistry
Who wrote To Kill a Mockingbird?,Lee,Twain,Salinger,Hemingway,0,medium,Literature
What is the capital of Poland?,Warsaw,Krakow,Gdansk,Wroclaw,0,medium,Geography
What is the melting point of ice in Celsius?,-5,0,5,10,1,easy,Science
What is the capital of Indonesia?,Jakarta,Bali,Surabaya,Bandung,0,easy,Geography
What does DNA stand for?,Dynamic Nucleic Acid,Deoxyribonucleic Acid,Dual Nuclear Atom,Direct Nucleic Acid,1,medium,Biology
What is the value of Pi to 2 decimal places?,3.12,3.14,3.16,3.18,1,easy,Math
